Material,Región,Primarias (MeV),Secundarias (MeV),Total (MeV),Primarias %,Secundarias %,Media Primarias,Media Secundarias
Bone,13-14 mm,7.26e+06,1.49e+04,7.27e+06,99.80,0.20,7.89e+04,1.61e+02
Bone,14-15 mm,5.95e+06,1.22e+04,5.96e+06,99.80,0.20,6.76e+04,1.38e+02
Bone,15-16 mm,5.65e+06,1.16e+04,5.66e+06,99.80,0.20,5.88e+04,1.20e+02
Bone,16-17 mm,4.91e+06,1.01e+04,4.92e+06,99.80,0.20,5.12e+04,1.05e+02
Bone,17-18 mm,5.21e+06,1.07e+04,5.23e+06,99.80,0.20,4.50e+04,9.22e+01
Bone,18-19 mm,4.72e+06,9.71e+03,4.73e+06,99.79,0.21,3.93e+04,8.09e+01
Bone,19-20 mm,4.19e+06,8.58e+03,4.20e+06,99.80,0.20,3.49e+04,7.15e+01
Bone,20-25 mm,1.73e+07,3.55e+04,1.74e+07,99.80,0.20,2.49e+04,5.10e+01
Bone,25-30 mm,1.30e+07,2.67e+04,1.31e+07,99.80,0.20,1.50e+04,3.08e+01
Bone,30-40 mm,1.72e+07,3.53e+04,1.73e+07,99.80,0.20,7.82e+03,1.60e+01
Bone,40-50 mm,1.02e+07,2.09e+04,1.02e+07,99.80,0.20,3.63e+03,7.45e+00
Bone,50-60 mm,6.37e+06,1.31e+04,6.38e+06,99.79,0.21,1.84e+03,3.80e+00
Bone,60-70 mm,4.03e+06,8.29e+03,4.04e+06,99.79,0.21,9.88e+02,2.03e+00
